id_rute,id_asal,id_tujuan,jarak_km
R121,L030,L057,172.9
R122,L096,L095,220.5
R123,L029,L069,70.8
R124,L060,L024,106.2
R125,L073,L056,132.0
R126,L036,L049,143.3
R127,L053,L020,229.6
R128,L077,L017,245.1
R129,L006,L083,137.2
R130,L047,L071,261.9
R131,L091,L066,239.1
R132,L036,L010,214.9
R133,L034,L058,254.0
R134,L018,L056,30.2
R135,L028,L058,248.3
R136,L003,L054,19.6
R137,L064,L047,69.8
R138,L010,L048,66.7
R139,L040,L012,235.8
R140,L083,L042,222.6
R141,L017,L004,83.9
R142,L060,L090,233.6
R143,L097,L090,134.0
R144,L078,L000,254.1
R145,L002,L033,64.3
R146,L019,L071,263.6
R147,L077,L067,121.4
R148,L099,L036,70.4
R149,L015,L006,70.6
R150,L081,L079,130.7
R151,L014,L064,169.1
R152,L002,L081,146.7
R153,L030,L092,44.5
R154,L054,L000,174.1
R155,L030,L074,119.6
R156,L085,L086,28.5
R157,L046,L008,267.2
R158,L069,L064,221.3
R159,L064,L071,10.6
R160,L060,L005,179.8
R161,L047,L032,210.5
R162,L045,L008,99.8
R163,L093,L084,177.8
R164,L098,L074,207.2
R165,L042,L017,17.2
R166,L069,L043,228.7
R167,L022,L088,132.8
R168,L089,L061,178.7
R169,L017,L008,201.9
R170,L058,L004,85.7
R171,L005,L026,248.6
R172,L040,L039,146.7
R173,L069,L060,74.7
R174,L096,L082,57.6
R175,L045,L006,243.1
R176,L042,L034,39.2
R177,L047,L056,249.6
R178,L095,L056,251.0
R179,L049,L043,272.8
R180,L063,L089,141.8
R181,L066,L034,225.3
R182,L093,L054,26.7
R183,L077,L023,155.0
R184,L041,L013,27.0
R185,L084,L037,89.3
R186,L077,L092,122.2
R187,L088,L056,101.7
R188,L005,L094,244.3
R189,L045,L079,279.5
R190,L035,L082,274.5
R191,L007,L010,189.6
R192,L051,L046,146.1
R193,L095,L086,49.0
R194,L077,L087,219.9
R195,L004,L017,23.5
R196,L099,L082,105.7
R197,L049,L073,13.9
R198,L019,L087,128.7
R199,L047,L048,127.1
R200,L009,L074,42.9
R201,L046,L051,91.5
R202,L035,L031,269.1
R203,L003,L095,56.2
R204,L066,L049,256.2
R205,L015,L034,218.1
R206,L090,L057,64.0
R207,L078,L036,195.8
R208,L062,L025,38.7
R209,L022,L092,127.4
R210,L011,L088,271.1
R211,L040,L086,100.5
R212,L008,L071,154.1
R213,L038,L020,200.7
R214,L089,L081,52.9
R215,L046,L066,66.7
R216,L025,L017,70.1
R217,L063,L003,104.2
R218,L073,L047,133.5
R219,L070,L016,173.3
R220,L011,L008,90.1
R221,L091,L093,136.6
R222,L052,L099,117.6
R223,L073,L009,39.5
R224,L040,L083,25.4
R225,L059,L088,147.3
R226,L016,L071,180.9
R227,L023,L099,270.7
R228,L055,L065,255.4
R229,L007,L016,147.5
R230,L038,L021,49.5
R231,L090,L028,100.2
R232,L066,L036,237.6
R233,L032,L025,179.6
R234,L070,L035,39.4
R235,L038,L079,151.7
R236,L064,L083,51.4
R237,L074,L019,52.1
R238,L079,L093,253.1
R239,L043,L073,16.3
R240,L003,L011,17.5
R241,L082,L099,163.6
R242,L083,L026,215.9
R243,L053,L080,180.7
R244,L063,L081,155.0
R245,L082,L038,137.8
R246,L087,L051,86.8
R247,L009,L089,21.5
R248,L056,L053,138.2
R249,L026,L044,171.8
R250,L040,L092,92.8
R251,L044,L052,41.0
R252,L047,L066,159.5
R253,L040,L030,133.3
R254,L031,L018,31.6
R255,L037,L050,242.6
R256,L053,L031,269.7
R257,L020,L042,261.8
R258,L092,L040,57.2
R259,L020,L064,278.9
R260,L059,L064,246.7
R261,L063,L002,29.8
R262,L050,L065,130.7
R263,L030,L027,165.4
R264,L006,L007,82.4
R265,L076,L084,189.9
R266,L036,L069,7.2
R267,L013,L056,41.8
R268,L033,L094,105.6
R269,L005,L052,19.1
R270,L071,L024,104.7
R271,L036,L009,111.2
R272,L057,L098,156.2
R273,L079,L088,173.0
R274,L016,L012,113.3
R275,L043,L072,263.2
R276,L096,L018,59.7
R277,L065,L051,142.5
R278,L005,L004,42.7
R279,L042,L061,147.8
R280,L019,L078,250.6
R281,L017,L042,261.1
R282,L040,L020,113.1
R283,L078,L095,236.7
R284,L075,L043,144.5
R285,L065,L069,139.7
R286,L072,L038,135.6
R287,L002,L048,96.1
R288,L014,L054,165.5
R289,L092,L088,178.0
R290,L076,L060,78.0
R291,L083,L074,163.8
R292,L092,L006,165.5
R293,L021,L068,178.0
R294,L079,L048,45.6
R295,L087,L031,13.7
R296,L089,L014,57.5
R297,L056,L040,120.2
R298,L052,L089,61.1
R299,L064,L079,258.1
R300,L094,L093,22.1
R301,L017,L067,62.0
R302,L041,L085,136.6
R303,L048,L040,268.1
R304,L058,L069,99.1
R305,L045,L087,217.3
R306,L092,L087,181.9
R307,L088,L033,172.8
R308,L024,L032,81.7
R309,L038,L028,263.9
R310,L038,L099,84.5
R311,L026,L089,198.9
R312,L040,L062,100.9
R313,L092,L035,84.1
R314,L073,L087,154.4
R315,L050,L044,267.5
R316,L018,L038,16.6
R317,L091,L010,100.2
R318,L056,L084,75.5
R319,L061,L027,60.6
R320,L068,L034,261.6
R321,L089,L034,42.8
R322,L075,L030,71.7
R323,L085,L067,67.1
R324,L029,L006,32.6
R325,L042,L092,134.9
R326,L087,L099,42.8
R327,L070,L020,116.9
R328,L060,L062,183.9
R329,L096,L036,93.3
R330,L082,L007,254.7
R331,L011,L084,162.9
R332,L068,L095,203.9
R333,L004,L023,119.9
R334,L022,L004,279.2
R335,L050,L064,56.2
R336,L095,L037,246.1
R337,L001,L039,161.2
R338,L013,L043,83.3
R339,L082,L069,149.2
R340,L017,L065,133.7
R341,L024,L014,95.9
R342,L093,L058,183.3
R343,L091,L023,8.9
R344,L043,L037,161.1
R345,L096,L024,53.3
R346,L081,L051,232.4
R347,L065,L041,28.9
R348,L085,L012,55.8
R349,L017,L062,94.0
R350,L031,L000,76.7
R351,L030,L058,212.3
R352,L042,L038,165.2
R353,L073,L001,76.9
R354,L046,L089,70.0
R355,L085,L015,133.0
R356,L020,L052,193.7
R357,L090,L099,90.5
R358,L015,L082,256.9
R359,L037,L048,174.0
R360,L061,L019,130.1
R361,L077,L047,119.4
R362,L070,L060,213.3
R363,L085,L027,214.5
R364,L087,L097,168.8
R365,L057,L068,198.5
R366,L009,L073,35.9
R367,L070,L064,60.6
R368,L068,L019,50.2
R369,L066,L056,37.0
R370,L026,L092,165.4
R371,L011,L066,127.5
R372,L007,L059,41.3
R373,L053,L059,160.1
R374,L071,L059,190.0
R375,L039,L093,11.0
R376,L032,L000,210.1
R377,L074,L009,17.5
R378,L044,L090,22.5
R379,L007,L009,276.2
R380,L060,L004,83.9
R381,L017,L099,181.4
R382,L093,L082,270.0
R383,L047,L049,128.3
R384,L048,L049,27.1
R385,L084,L069,41.6
R386,L044,L015,54.1
R387,L068,L050,150.4
R388,L093,L028,234.6
R389,L096,L002,274.1
R390,L059,L087,202.8
R391,L054,L069,109.3
R392,L029,L032,131.7
R393,L019,L036,56.8
R394,L092,L098,36.0
R395,L084,L053,174.1
R396,L002,L031,61.7
R397,L004,L058,169.4
R398,L090,L006,72.3
R399,L056,L029,153.4
R400,L096,L007,43.5
R401,L037,L029,229.3
R402,L093,L073,92.7
R403,L076,L099,189.9
R404,L041,L030,88.0
R405,L018,L085,148.3
R406,L052,L038,80.7
R407,L071,L076,246.9
R408,L022,L081,191.7
R409,L071,L063,17.9
R410,L044,L083,189.6
R411,L067,L040,196.5
R412,L052,L019,87.5
R413,L023,L097,152.9
R414,L030,L028,87.7
R415,L090,L018,226.6
R416,L007,L072,118.5
R417,L053,L072,150.7
R418,L049,L031,75.1
R419,L042,L083,26.7
R420,L057,L047,30.4
R421,L092,L024,19.2
R422,L048,L087,171.4
R423,L005,L010,56.7
R424,L097,L075,204.2
R425,L071,L027,136.8
R426,L001,L028,262.7
R427,L094,L015,210.4
R428,L096,L061,256.5
R429,L089,L077,198.5
R430,L050,L030,156.8
R431,L048,L060,151.8
R432,L045,L039,76.9
R433,L065,L063,133.2
R434,L092,L060,214.4
R435,L040,L026,106.9
R436,L052,L005,159.7
R437,L028,L095,45.1
R438,L033,L071,262.1
R439,L074,L093,119.8
R440,L019,L026,95.7
R441,L048,L073,234.2
R442,L063,L071,185.0
R443,L087,L043,75.8
R444,L062,L093,181.5
R445,L062,L058,51.3
R446,L045,L021,43.5
R447,L069,L062,55.6
R448,L069,L083,268.2
R449,L067,L004,235.7
R450,L009,L086,18.3
R451,L000,L053,42.8
R452,L080,L029,23.7
R453,L019,L001,65.1
R454,L058,L047,21.6
R455,L081,L086,261.8
R456,L061,L085,139.2
R457,L000,L069,156.7
R458,L001,L003,150.6
R459,L035,L069,273.8
R460,L002,L065,228.6
R461,L086,L055,226.7
R462,L022,L013,257.5
R463,L067,L019,71.3
R464,L079,L067,74.4
R465,L045,L034,223.6
R466,L051,L059,160.4
R467,L089,L028,87.5
R468,L010,L084,277.7
R469,L083,L098,13.7
R470,L051,L048,108.7
R471,L060,L007,180.1
R472,L089,L021,27.7
R473,L055,L083,220.7
R474,L072,L012,251.1
R475,L005,L030,63.1
R476,L088,L072,135.8
R477,L087,L035,252.3
R478,L072,L085,14.0
R479,L040,L002,269.4
R480,L075,L018,211.9
R481,L091,L050,260.4
R482,L072,L030,160.8
R483,L049,L087,251.5
R484,L042,L050,212.8
R485,L017,L089,204.1
R486,L064,L096,272.9
R487,L006,L013,125.2
R488,L009,L044,171.4
R489,L078,L076,114.1
R490,L099,L041,13.1
R491,L062,L029,102.8
R492,L048,L056,56.1
R493,L074,L085,109.5
R494,L037,L031,201.1
R495,L010,L035,47.4
R496,L091,L081,47.4
R497,L049,L040,104.2
R498,L011,L000,264.3
R499,L056,L046,214.4
R500,L013,L017,29.0
