id_lokasi,nama_lokasi,tipe_lokasi
L092,Agency Solo Palur,Tujuan
L093,Agency Jakarta Barat Cengkareng,Tujuan
L094,Cabang Wajo Sengkang,Tujuan
L095,Agency Yogyakarta Sleman,Tujuan
L096,Cabang Bontang,Tujuan
L097,Cabang Cimahi Cibabat,Tujuan
L098,Agency Binjai,Tujuan
L099,Agency Karanganyar,Tujuan
L100,Cabang Garut Banyumas,Tujuan
L101,Cabang Padang Sidempuran,Tujuan
L102,Agency Probolinggo,Tujuan
L103,Pos Distribusi Sangatta,Tujuan
L104,Agency Depok Beji,Tujuan
L105,Agency Maros,Tujuan
L106,Cabang Surabaya Kenjeran,Tujuan
L107,Cabang Cianjur,Tujuan
L108,Cabang Depok Sawangan,Tujuan
L109,Depo Banjar,Tujuan
L110,Cabang Singkawang,Tujuan
L111,Pos Distribusi Yogyakarta Bantul,Tujuan
L112,Cabang Jakarta Selatan Pasar Minggu,Tujuan
L113,Pos Distribusi Jakarta Timur Durensawit,Tujuan
L114,Cabang Majalengka,Tujuan
L115,Depo Tangerang BSD,Tujuan
L116,Depo Singaraja,Tujuan
L117,Cabang Tegal Brebes,Tujuan
L118,Agency Ketapang,Tujuan
L119,Cabang Kulon Progo,Tujuan
L120,Depo Pasuruan,Tujuan
L121,Terminal Surabaya Wonokromo,Tujuan
L122,Terminal Badung Mengwi,Tujuan
L123,Depo Wonosari,Tujuan
L124,Agency Bogor Parung,Tujuan
L125,Agency Indramayu,Tujuan
L126,Pos Distribusi Palopo,Tujuan
L127,Cabang Surabaya Rungkut,Tujuan
L128,Depo Bogor Ciampea,Tujuan
L129,Depo Tangerang Gading Serpong,Tujuan
L130,Agency Sumedang,Tujuan
L131,Cabang Bandung Cicaheum,Tujuan
L132,Depo Jepara,Tujuan
L133,Pos Distribusi Bone Watampone,Tujuan
L134,Cabang Situbondo,Tujuan
L135,Cabang Depok Cinere,Tujuan
L136,Depo Gresik,Tujuan
L137,Cabang Pontianak Mempawah,Tujuan
L138,Cabang Bulukumba,Tujuan
L139,Depo Balikpapan Batuaji,Tujuan
L140,Cabang Rembang,Tujuan
L141,Cabang Semarang Ungaran,Tujuan
L142,Depo Tegal Slawi,Tujuan
L143,Cabang Banda Aceh Lhokseumawe,Tujuan
L144,Terminal Kudus,Tujuan
L145,Agency Manao Bitung,Tujuan
L146,Agency Tuban,Tujuan
L147,Cabang Pangkep,Tujuan
L148,Pos Distribusi Jakarta Timur Jatinegara,Tujuan
L149,Agency Cirebon Kuningan,Tujuan
L150,Agency Madiun,Tujuan
L151,Cabang Wonogiri,Tujuan
L152,Terminal Pemalang,Tujuan
L153,Pos Distribusi Sintang,Tujuan
L154,Cabang Jakarta Utara Koja,Tujuan
L155,Pos Distribusi Bekasi Harapan Indah,Tujuan
L156,Cabang Nunukan,Tujuan
L157,Terminal Jombang,Tujuan
L158,Depo Surabaya Lakarsantri,Tujuan
L159,Cabang Tebingtinggi,Tujuan
L160,Cabang Jakarta Timur Cipayung,Tujuan
L161,Depo Subang,Tujuan
L162,Agency Mojokerto,Tujuan
L163,Cabang Pekalongan,Tujuan
L164,Depo Malang Batu,Tujuan
L165,Cabang Medan Marelan,Tujuan
L166,Terminal Medan Belawan,Tujuan
L167,Cabang Jakarta Barat Kembangan,Tujuan
L168,Cabang Demak,Tujuan
L169,Agency Bekasi Summarecon,Tujuan
L170,Pos Distribusi Blora,Tujuan
L171,Terminal Bojonegoro,Tujuan
L172,Terminal Balikpapan Penajam,Tujuan
L173,Agency Bogor Tajur,Tujuan
L174,Terminal Lamongan,Tujuan
L175,Agency Gianyar Ubud,Tujuan
L176,Agency Bandung Kiaracondong,Tujuan
L177,Terminal Bekasi Tambun,Tujuan
L178,Cabang Makassar Tamalanrea,Tujuan
L179,Cabang Cimahi Baros,Tujuan
L180,Pos Distribusi Kuningan,Tujuan
L181,Cabang Makassar Panakkukang,Tujuan
L182,Cabang Solo Kartasura,Tujuan
L183,Depo Tangerang Karawaci,Tujuan
L184,Cabang Sragen,Tujuan
L185,Depo Jakarta Utara Penjernihan,Tujuan
L186,Cabang Deli Serdang,Tujuan
L187,Pos Distribusi Malang Kepanjen,Tujuan
L188,Depo Tasik Mitra,Tujuan
L189,Cabang Kendal,Tujuan
L190,Agency Jakarta Utara Pademangan,Tujuan
L191,Pos Distribusi Bandung Buahbatu,Tujuan
L192,Terminal Bandung Antapani,Tujuan
L193,Pos Distribusi Gowa Sungguminasa,Tujuan
L194,Terminal Pekanbaru Dumai,Tujuan
L195,Cabang Jember,Tujuan
L196,Pos Distribusi Minahasa Tomohon,Tujuan
L197,Cabang Jakarta Selatan Kebayoran,Tujuan
L198,Depo Tabanan,Tujuan
L199,Pos Distribusi Jakarta Selatan Tebet,Tujuan
