id_rute,id_asal,id_tujuan,jarak_km
R410,L142,L046,85.8
R411,L120,L032,208.8
R412,L185,L143,214.8
R413,L046,L175,252.4
R414,L167,L022,66.1
R415,L057,L191,244.6
R416,L107,L084,107.2
R417,L149,L075,132.5
R418,L030,L121,19.8
R419,L162,L149,164.6
R420,L158,L018,134.9
R421,L049,L129,37.9
R422,L174,L097,150.7
R423,L105,L013,244.5
R424,L038,L035,277.9
R425,L087,L105,276.5
R426,L117,L036,92.0
R427,L183,L046,219.2
R428,L124,L085,178.5
R429,L045,L081,179.5
R430,L001,L116,80.2
R431,L194,L199,51.4
R432,L195,L040,139.6
R433,L195,L022,40.6
R434,L111,L163,123.1
R435,L109,L123,110.4
R436,L009,L137,59.8
R437,L095,L003,250.3
R438,L193,L135,57.4
R439,L173,L001,177.3
R440,L063,L057,195.7
R441,L088,L079,40.5
R442,L098,L129,166.9
R443,L042,L016,231.6
R444,L076,L074,130.4
R445,L133,L153,149.1
R446,L111,L176,278.8
R447,L087,L126,103.8
R448,L048,L042,265.7
R449,L103,L004,67.8
R450,L186,L033,63.1
R451,L129,L043,38.9
R452,L182,L166,222.8
R453,L096,L164,75.3
R454,L136,L160,18.4
R455,L012,L170,34.7
R456,L005,L013,194.7
R457,L106,L114,109.6
R458,L140,L064,135.5
R459,L039,L053,196.2
R460,L161,L002,87.8
R461,L169,L025,187.2
R462,L069,L160,171.5
R463,L035,L108,233.4
R464,L026,L131,202.7
R465,L030,L073,36.4
R466,L027,L128,59.6
R467,L051,L068,233.7
R468,L051,L092,198.4
R469,L075,L041,15.8
R470,L127,L053,194.3
R471,L123,L084,69.5
R472,L003,L172,29.5
R473,L028,L147,189.0
R474,L038,L023,219.4
R475,L019,L186,204.0
R476,L065,L165,68.6
R477,L075,L067,132.7
R478,L025,L045,245.4
R479,L074,L093,225.4
R480,L080,L110,208.1
R481,L024,L195,249.8
R482,L002,L036,187.4
R483,L043,L085,103.3
R484,L112,L160,78.8
R485,L187,L023,107.5
R486,L087,L046,36.3
R487,L102,L117,79.8
R488,L098,L177,238.9
R489,L107,L167,248.7
R490,L042,L028,41.4
R491,L185,L015,274.9
R492,L040,L026,119.4
R493,L151,L123,225.6
R494,L173,L112,54.8
R495,L097,L091,173.1
R496,L175,L187,272.7
R497,L033,L124,258.1
R498,L028,L106,126.2
R499,L016,L067,185.1
R500,L003,L181,243.8
R501,L134,L197,209.5
R502,L185,L144,66.6
R503,L171,L086,147.8
R504,L176,L180,175.0
R505,L110,L170,204.8
R506,L123,L088,187.5
R507,L164,L098,45.9
R508,L142,L157,20.0
R509,L164,L040,144.0
R510,L120,L127,244.1
R511,L019,L193,140.2
R512,L061,L085,271.8
R513,L012,L130,66.2
R514,L164,L096,115.9
R515,L060,L020,131.3
R516,L146,L114,29.2
R517,L127,L114,91.9
R518,L127,L191,184.7
R519,L026,L104,118.4
R520,L142,L140,5.0
R521,L023,L155,269.9
R522,L163,L077,249.8
R523,L143,L052,185.0
R524,L116,L087,104.9
R525,L013,L058,237.2
R526,L084,L144,216.0
R527,L153,L121,202.1
R528,L093,L184,129.4
R529,L168,L056,5.6
R530,L090,L163,270.2
R531,L074,L141,148.5
R532,L179,L027,17.6
R533,L042,L127,43.6
R534,L183,L191,203.4
R535,L027,L066,173.0
R536,L048,L030,260.8
R537,L100,L055,130.7
R538,L048,L184,97.9
R539,L193,L106,17.8
R540,L162,L173,166.9
R541,L197,L115,130.8
R542,L150,L129,42.0
R543,L127,L001,150.9
R544,L012,L142,262.2
R545,L149,L123,259.2
R546,L199,L045,195.2
R547,L044,L188,229.2
R548,L026,L100,185.8
R549,L155,L082,143.6
R550,L098,L108,274.4
R551,L177,L196,73.3
R552,L101,L087,271.9
R553,L115,L034,43.0
R554,L154,L180,248.8
R555,L131,L076,236.8
R556,L140,L080,200.8
R557,L141,L162,64.8
R558,L053,L160,201.5
R559,L175,L088,258.3
R560,L033,L182,183.8
R561,L045,L129,154.2
R562,L163,L082,200.3
R563,L194,L090,159.6
R564,L149,L146,264.2
R565,L181,L106,190.4
R566,L136,L073,246.3
R567,L108,L003,148.8
R568,L006,L098,45.0
R569,L171,L014,60.0
R570,L192,L041,275.5
R571,L174,L064,45.3
R572,L015,L177,220.7
R573,L052,L193,153.8
R574,L091,L116,33.2
R575,L172,L190,159.5
R576,L165,L143,111.9
R577,L130,L179,84.1
R578,L170,L012,259.8
R579,L099,L107,268.1
R580,L175,L080,270.6
R581,L013,L003,209.5
R582,L051,L159,243.9
R583,L113,L057,255.7
R584,L180,L182,183.1
R585,L193,L150,155.3
R586,L154,L050,218.4
R587,L049,L076,128.4
R588,L174,L019,56.4
R589,L044,L189,146.3
R590,L096,L010,122.8
R591,L142,L067,40.8
R592,L149,L065,6.6
R593,L119,L182,262.8
R594,L010,L040,260.4
R595,L152,L013,217.8
R596,L160,L157,236.9
R597,L077,L126,222.2
R598,L140,L091,25.0
R599,L181,L081,149.5
R600,L047,L134,23.7
R601,L129,L040,119.4
R602,L137,L103,30.3
R603,L056,L054,187.4
R604,L084,L093,85.7
R605,L192,L158,150.9
R606,L143,L193,274.8
R607,L002,L030,189.0
R608,L114,L061,253.7
R609,L157,L160,72.1
R610,L010,L175,248.6
R611,L097,L029,111.1
R612,L138,L186,82.8
R613,L132,L198,108.1
R614,L130,L114,138.9
R615,L075,L167,57.9
R616,L131,L021,265.8
R617,L042,L198,152.9
R618,L001,L161,23.0
R619,L171,L161,217.7
R620,L175,L108,234.8
R621,L052,L138,232.9
R622,L189,L199,124.7
R623,L018,L192,193.7
R624,L006,L118,202.1
R625,L009,L023,25.1
R626,L045,L065,158.5
R627,L147,L058,255.5
R628,L104,L099,129.1
R629,L103,L111,92.0
R630,L099,L173,37.5
R631,L001,L165,203.1
R632,L016,L194,210.1
R633,L011,L180,238.3
R634,L091,L129,34.2
R635,L175,L077,171.8
R636,L072,L196,259.8
R637,L097,L102,231.1
R638,L007,L122,48.0
R639,L056,L034,210.4
R640,L139,L075,269.0
R641,L036,L077,191.3
R642,L186,L165,107.6
R643,L002,L142,245.6
R644,L036,L031,16.5
R645,L146,L153,113.4
R646,L140,L021,88.8
R647,L191,L189,253.5
R648,L088,L054,118.5
R649,L165,L131,44.2
R650,L047,L057,174.6
R651,L064,L049,36.5
R652,L171,L145,239.4
R653,L192,L140,131.8
R654,L140,L018,84.9
R655,L017,L065,32.0
R656,L185,L148,139.0
R657,L084,L092,40.3
R658,L167,L060,32.5
R659,L158,L017,252.5
R660,L081,L125,128.9
R661,L157,L169,89.1
R662,L149,L039,160.5
R663,L093,L080,268.6
R664,L043,L001,91.1
R665,L056,L183,208.4
R666,L111,L070,236.0
R667,L034,L174,206.6
R668,L122,L118,127.5
R669,L198,L078,138.9
R670,L027,L045,182.5
R671,L020,L072,241.1
R672,L035,L138,59.0
R673,L187,L160,26.0
R674,L019,L004,238.6
R675,L161,L007,228.5
R676,L148,L103,216.5
R677,L054,L009,156.7
R678,L139,L138,134.8
R679,L198,L038,105.6
R680,L057,L198,167.1
R681,L074,L034,132.8
R682,L130,L023,114.1
R683,L128,L002,187.2
R684,L157,L176,50.6
R685,L131,L035,127.7
R686,L045,L145,265.9
R687,L168,L037,207.4
R688,L123,L091,16.1
R689,L194,L124,68.7
R690,L067,L095,69.4
R691,L171,L052,147.4
R692,L092,L100,134.2
R693,L116,L011,16.0
R694,L166,L082,33.4
R695,L133,L163,233.2
R696,L189,L067,164.1
R697,L145,L044,108.6
R698,L096,L093,166.6
R699,L019,L133,74.2
R700,L057,L133,116.6
R701,L088,L125,223.0
R702,L154,L001,143.0
R703,L035,L113,50.5
R704,L019,L132,182.0
R705,L054,L038,56.4
R706,L092,L155,202.3
R707,L030,L170,68.3
R708,L084,L185,36.2
R709,L172,L122,136.7
R710,L151,L041,183.0
R711,L105,L005,72.0
R712,L032,L147,167.9
R713,L034,L162,146.0
R714,L146,L037,20.4
R715,L066,L046,147.1
R716,L103,L154,271.5
R717,L163,L004,246.6
R718,L186,L169,230.9
R719,L021,L056,128.5
R720,L120,L124,51.9
R721,L105,L154,44.2
R722,L149,L197,55.0
R723,L168,L130,77.7
R724,L185,L175,99.2
R725,L116,L153,167.4
R726,L058,L097,111.0
R727,L027,L004,60.6
R728,L129,L176,120.4
R729,L038,L156,31.5
R730,L121,L158,169.9
R731,L136,L128,211.9
R732,L023,L124,186.3
R733,L154,L138,232.6
R734,L198,L173,183.5
R735,L094,L011,196.9
R736,L109,L058,263.1
R737,L123,L197,109.8
R738,L150,L190,254.7
R739,L178,L147,31.9
R740,L034,L066,136.2
R741,L059,L021,82.9
R742,L139,L104,75.9
R743,L001,L182,209.5
R744,L001,L148,148.7
R745,L133,L001,108.1
R746,L052,L177,226.2
R747,L104,L092,34.3
R748,L109,L167,166.0
R749,L066,L138,121.5
R750,L093,L157,80.8
R751,L174,L101,212.6
R752,L105,L142,220.5
R753,L123,L045,106.8
R754,L142,L123,74.8
R755,L078,L148,99.7
R756,L180,L101,207.3
R757,L168,L030,210.6
R758,L114,L180,266.0
R759,L025,L055,144.8
R760,L086,L141,173.9
R761,L175,L181,19.3
R762,L099,L163,6.5
R763,L023,L038,134.7
R764,L153,L111,29.2
R765,L067,L056,107.0
R766,L155,L009,204.2
R767,L102,L158,185.4
R768,L073,L183,270.0
R769,L014,L199,230.6
R770,L163,L126,125.7
R771,L051,L169,261.0
R772,L132,L073,58.6
R773,L153,L130,146.8
R774,L059,L158,51.6
R775,L009,L093,70.8
R776,L000,L041,28.9
R777,L070,L103,102.1
R778,L101,L104,166.2
R779,L132,L003,207.7
R780,L017,L024,156.1
R781,L149,L089,100.6
R782,L070,L057,171.7
R783,L049,L117,260.7
R784,L147,L001,76.8
R785,L104,L130,34.3
R786,L018,L129,85.9
R787,L029,L132,268.1
R788,L137,L148,73.8
R789,L113,L096,159.9
R790,L197,L062,213.3
R791,L198,L117,192.4
R792,L150,L007,137.5
R793,L066,L017,110.2
R794,L056,L174,197.8
R795,L080,L106,267.7
R796,L132,L138,7.7
R797,L067,L063,84.0
R798,L102,L173,210.9
R799,L087,L019,157.5
R800,L080,L091,65.1
R801,L146,L068,55.3
R802,L191,L174,260.8
R803,L048,L128,207.7
R804,L060,L189,71.6
R805,L067,L052,68.0
R806,L063,L159,102.9
R807,L199,L027,38.0
R808,L020,L174,267.8
R809,L126,L158,6.8
R810,L138,L010,238.2
R811,L095,L159,91.7
R812,L147,L070,140.0
R813,L195,L130,82.1
R814,L056,L193,163.6
R815,L013,L135,224.8
R816,L122,L139,14.0
R817,L088,L101,241.6
R818,L198,L044,130.7
R819,L030,L179,147.5
R820,L080,L177,7.3
R821,L172,L053,109.3
R822,L025,L084,104.4
R823,L066,L047,155.9
R824,L060,L069,134.6
R825,L156,L087,105.6
R826,L127,L108,62.9
R827,L179,L193,107.4
R828,L102,L071,129.0
R829,L146,L033,274.3
R830,L175,L058,228.9
R831,L184,L069,226.1
R832,L142,L110,240.5
R833,L050,L037,225.0
R834,L189,L038,135.1
R835,L002,L046,120.9
R836,L132,L137,203.2
R837,L124,L076,74.0
R838,L145,L012,114.6
R839,L176,L041,21.5
R840,L065,L122,235.7
R841,L024,L116,209.8
R842,L066,L093,104.1
R843,L142,L065,99.6
R844,L105,L031,101.5
R845,L173,L155,59.7
R846,L166,L137,53.0
R847,L199,L072,102.7
R848,L172,L130,139.1
R849,L188,L114,249.6
R850,L097,L158,83.8
R851,L161,L037,243.8
R852,L163,L086,121.0
R853,L156,L146,116.3
R854,L018,L021,49.5
R855,L058,L081,92.1
R856,L074,L182,78.6
R857,L165,L101,79.6
R858,L113,L092,210.7
R859,L133,L115,118.8
R860,L047,L005,39.4
R861,L060,L170,74.2
R862,L190,L179,211.2
R863,L053,L042,114.2
R864,L024,L016,262.6
R865,L121,L141,19.8
R866,L197,L101,149.1
R867,L021,L027,77.2
R868,L039,L021,185.1
R869,L099,L079,68.1
R870,L188,L072,126.9
R871,L032,L034,149.9
R872,L043,L007,14.7
R873,L091,L083,242.7
R874,L119,L139,262.1
R875,L140,L113,42.2
R876,L178,L138,53.7
R877,L152,L116,178.5
R878,L162,L144,124.6
R879,L163,L164,151.8
R880,L088,L124,153.4
R881,L022,L114,89.7
R882,L105,L066,47.8
R883,L002,L000,148.9
R884,L194,L034,99.6
R885,L120,L137,7.3
R886,L125,L194,136.2
R887,L002,L197,123.4
R888,L074,L153,68.6
R889,L095,L048,118.2
R890,L143,L111,113.6
R891,L041,L184,207.7
R892,L099,L096,65.7
R893,L020,L109,177.0
R894,L156,L178,193.3
R895,L072,L167,209.3
R896,L068,L106,56.7
R897,L017,L047,42.6
R898,L028,L164,130.2
R899,L115,L069,197.6
R900,L125,L048,93.2
R901,L038,L012,271.7
R902,L005,L048,272.4
R903,L072,L068,39.4
R904,L112,L187,7.3
R905,L023,L039,9.0
R906,L055,L088,120.6
R907,L127,L095,132.5
R908,L008,L085,27.1
R909,L192,L037,20.4
R910,L198,L100,24.6
R911,L120,L046,57.9
R912,L064,L098,232.8
R913,L031,L197,201.5
R914,L098,L198,273.1
R915,L063,L189,278.5
R916,L050,L118,207.2
R917,L024,L134,188.2
R918,L053,L122,112.0
R919,L079,L083,48.6
R920,L186,L010,209.8
R921,L140,L133,38.6
R922,L123,L164,87.2
R923,L092,L013,242.5
R924,L055,L028,69.9
R925,L111,L083,9.1
R926,L070,L150,37.9
R927,L062,L002,271.4
R928,L148,L177,135.7
R929,L152,L039,107.1
R930,L022,L064,48.4
R931,L158,L086,261.0
R932,L194,L160,21.5
R933,L091,L166,47.3
R934,L137,L027,39.6
R935,L059,L082,275.0
R936,L165,L194,100.5
R937,L112,L188,58.1
R938,L176,L096,103.5
R939,L034,L065,252.1
R940,L124,L181,125.3
R941,L075,L139,196.7
R942,L048,L146,56.3
R943,L089,L082,206.4
R944,L070,L154,256.5
R945,L141,L041,23.9
R946,L039,L116,86.3
R947,L067,L139,106.0
R948,L000,L199,180.5
R949,L097,L188,56.0
R950,L004,L159,240.6
R951,L198,L158,70.7
R952,L184,L016,186.0
R953,L137,L099,57.2
R954,L174,L127,215.6
R955,L039,L157,82.9
R956,L104,L165,93.6
R957,L168,L017,17.0
R958,L033,L046,245.2
R959,L051,L027,138.5
R960,L025,L008,162.0
R961,L099,L169,139.7
R962,L159,L180,167.3
R963,L012,L094,65.7
R964,L183,L018,8.6
R965,L053,L168,140.1
R966,L020,L120,225.3
R967,L015,L093,158.5
R968,L106,L094,223.4
R969,L014,L158,78.1
R970,L010,L188,24.4
R971,L077,L019,264.8
R972,L132,L024,32.8
R973,L059,L137,111.0
R974,L049,L135,185.6
R975,L145,L161,265.6
R976,L142,L192,158.5
R977,L191,L027,215.7
R978,L147,L091,190.5
R979,L179,L170,122.4
R980,L026,L043,222.9
R981,L140,L102,143.8
R982,L168,L040,151.8
R983,L153,L113,261.7
R984,L080,L141,277.7
R985,L083,L096,118.4
R986,L162,L110,232.2
R987,L082,L156,71.2
R988,L139,L054,108.1
R989,L140,L191,74.9
R990,L115,L114,269.0
R991,L008,L073,168.8
R992,L132,L034,278.2
R993,L077,L001,87.6
R994,L080,L005,217.2
R995,L176,L070,257.8
R996,L130,L143,161.9
R997,L146,L039,30.9
R998,L117,L091,47.9
R999,L067,L094,249.6
R1000,L063,L059,75.5
